frame,smile_vertical_asymmetry_norm,mouth_horizontal_asymmetry_norm,eye_horizontal_asymmetry_norm,general_symmetry_score_norm,facial_droop_flag,severity_score
aug_0_7219.jpg,0.2177,0.2624,0.3194,0.2095,1,55.41
aug_0_7239.jpg,0.1329,0.3092,0.1571,0.1663,1,47.57
aug_0_7243.jpg,0.2827,0.1384,0.4767,0.3413,1,58.65
aug_0_7249.jpg,0.2141,0.1224,0.498,0.3424,1,50.6
aug_0_7257.jpg,0.3606,0.382,0.4224,0.2589,1,81.97
aug_0_7259.jpg,0.2739,0.2233,0.5688,0.3996,1,64.14
aug_0_7262.jpg,0.1927,0.2341,0.4599,0.3284,1,56.83
aug_0_7263.jpg,0.3606,0.3129,0.454,0.2597,1,76.85
aug_0_7269.jpg,0.3874,0.1216,0.5581,0.3771,1,67.87
aug_0_7272.jpg,0.3156,0.4067,0.4387,0.3027,1,81.56
aug_0_7273.jpg,0.2707,0.4482,0.3149,0.2464,1,73.5
aug_0_7282.jpg,0.2582,0.3816,0.5093,0.2929,1,73.96
aug_0_7286.jpg,0.1737,0.1421,0.3716,0.3244,1,48.02
aug_0_7290.jpg,0.0195,0.0258,0.2141,0.181,1,15.96
aug_0_7292.jpg,0.3481,0.2255,0.3676,0.2603,1,69.08
aug_0_7295.jpg,0.3231,0.3688,0.5492,0.3737,1,79.97
aug_0_7303.jpg,0.3057,0.358,0.3957,0.2825,1,76.25
aug_0_7304.jpg,0.2896,0.2931,0.5074,0.3501,1,70.94
aug_0_7310.jpg,0.1973,0.2727,0.3626,0.2246,1,55.15
aug_0_7333.jpg,0.2118,0.1547,0.4484,0.3074,1,52.78
aug_0_7335.jpg,0.0071,0.1733,0.1085,0.2202,1,28.38
aug_0_7344.jpg,0.4633,0.2739,0.5691,0.3681,1,86.87
aug_0_736.jpg,0.1331,0.2315,0.1491,0.1296,1,39.31
aug_0_7381.jpg,0.2294,0.2753,0.2243,0.1632,1,54.47
aug_0_7410.jpg,0.4769,0.3891,0.6362,0.4117,1,96.87
aug_0_7420.jpg,0.1231,0.134,0.3896,0.322,1,42.36
aug_0_7422.jpg,0.2127,0.308,0.402,0.2593,1,61.66
aug_0_7426.jpg,0.2553,0.1973,0.3399,0.2572,1,57.46
aug_0_7441.jpg,0.4581,0.3757,0.5688,0.3555,1,93.98
aug_0_7442.jpg,0.1648,0.152,0.3034,0.2537,1,44.79
aug_0_7450.jpg,0.2771,0.1486,0.2882,0.188,1,51.38
aug_0_746.jpg,0.2782,0.4334,0.5279,0.3809,1,77.82
aug_0_7473.jpg,0.2116,0.2611,0.4048,0.2695,1,58.71
aug_0_7475.jpg,0.2411,0.1748,0.5553,0.4194,1,57.22
aug_0_7478.jpg,0.3359,0.3317,0.3972,0.2695,1,76.43
aug_0_7488.jpg,0.1901,0.1226,0.4688,0.3829,1,48.21
aug_0_7498.jpg,0.1697,0.0064,0.2813,0.218,1,31.98
aug_0_752.jpg,0.1186,0.2589,0.0114,0.1311,1,40.02
aug_0_7562.jpg,0.3002,0.239,0.4391,0.3062,1,67.95
aug_0_7566.jpg,0.4737,0.3442,0.6012,0.3679,1,93.19
aug_0_7593.jpg,0.2298,0.3218,0.2241,0.2032,1,60.67
aug_0_761.jpg,0.355,0.3368,0.6833,0.4401,1,80.76
aug_0_7627.jpg,0.1546,0.1798,0.4688,0.3406,1,48.95
aug_0_7634.jpg,0.2641,0.2854,0.3399,0.228,1,63.02
aug_0_7649.jpg,0.1339,0.2406,0.326,0.2529,1,48.3
aug_0_7673.jpg,0.2741,0.2694,0.5404,0.4161,1,67.62
aug_0_7676.jpg,0.2526,0.0957,0.2349,0.1824,1,44.59
aug_0_7679.jpg,0.1826,0.2399,0.4694,0.3682,1,56.25
aug_0_768.jpg,0.1947,0.0314,0.4733,0.4001,1,41.83
aug_0_7700.jpg,0.331,0.3068,0.4065,0.2998,1,76.1
aug_0_7703.jpg,0.2397,0.2764,0.311,0.2338,1,60.28
aug_0_7706.jpg,0.2116,0.2533,0.4204,0.2792,1,58.76
aug_0_7711.jpg,0.1884,0.178,0.3257,0.1986,1,45.43
aug_0_7712.jpg,0.2522,0.272,0.4156,0.291,1,65.02
aug_0_7728.jpg,0.3312,0.403,0.4479,0.2682,1,81.0
aug_0_7730.jpg,0.1492,0.1704,0.3541,0.2391,1,43.64
aug_0_7732.jpg,0.174,0.3559,0.1949,0.1703,1,55.44
aug_0_7735.jpg,0.1525,0.2416,0.0952,0.1237,1,41.62
aug_0_7757.jpg,0.057,0.0476,0.2711,0.213,1,23.47
aug_0_776.jpg,0.1851,0.1737,0.4539,0.2546,1,48.51
aug_0_7796.jpg,0.2963,0.1895,0.4452,0.3048,1,63.84
aug_0_78.jpg,0.1884,0.2365,0.1331,0.1237,1,44.82
aug_0_7817.jpg,0.2766,0.261,0.6113,0.4423,1,67.23
aug_0_7824.jpg,0.3957,0.3016,0.5344,0.324,1,82.19
aug_0_7829.jpg,0.3088,0.4291,0.4837,0.2975,1,80.71
aug_0_7851.jpg,0.3303,0.4909,0.5648,0.3631,1,83.03
aug_0_786.jpg,0.3653,0.4036,0.4689,0.3139,1,86.53
aug_0_7861.jpg,0.2371,0.3572,0.356,0.2868,1,69.62
aug_0_7879.jpg,0.2457,0.0331,0.6564,0.4707,1,47.06
aug_0_7882.jpg,0.1323,0.2827,0.0785,0.1504,1,44.46
aug_0_7896.jpg,0.1041,0.1263,0.3137,0.2118,1,34.0
aug_0_7924.jpg,0.1381,0.1322,0.2531,0.1832,1,35.95
aug_0_7946.jpg,0.1838,0.4073,0.2785,0.2258,1,63.43
aug_0_7952.jpg,0.3009,0.3175,0.511,0.3854,1,73.9
aug_0_7966.jpg,0.4299,0.2682,0.4961,0.3307,1,83.11
aug_0_7968.jpg,0.1894,0.3161,0.2445,0.2026,1,56.15
aug_0_7998.jpg,0.186,0.2917,0.2843,0.1997,1,53.79
aug_0_8005.jpg,0.3693,0.3227,0.5387,0.3381,1,81.13
aug_0_8023.jpg,0.3216,0.4375,0.3643,0.2563,1,79.25
aug_0_8031.jpg,0.2681,0.4493,0.2945,0.2596,1,74.12
aug_0_8042.jpg,0.3745,0.3689,0.4474,0.3116,1,85.12
aug_0_8058.jpg,0.0264,0.0146,0.2461,0.1997,1,17.05
aug_0_806.jpg,0.2885,0.3583,0.5489,0.3333,1,75.73
aug_0_8061.jpg,0.2362,0.2259,0.3138,0.2393,1,56.51
aug_0_8063.jpg,0.2066,0.2046,0.3679,0.2882,1,55.22
aug_0_8078.jpg,0.4375,0.3602,0.4986,0.276,1,89.16
aug_0_8094.jpg,0.2171,0.3079,0.3021,0.2109,1,58.86
aug_0_8110.jpg,0.3846,0.4522,0.4485,0.2819,1,87.25
aug_0_8115.jpg,0.101,0.232,0.181,0.1444,1,37.13
aug_0_8119.jpg,0.3811,0.4308,0.6635,0.4146,1,88.11
aug_0_813.jpg,0.3538,0.3096,0.5445,0.3588,1,78.59
aug_0_8130.jpg,0.0949,0.0495,0.3549,0.2104,1,27.24
aug_0_814.jpg,0.2172,0.3659,0.3633,0.2403,1,65.18
aug_0_8158.jpg,0.178,0.0415,0.3478,0.264,1,38.51
aug_0_8162.jpg,0.4342,0.3708,0.495,0.3064,1,91.23
aug_0_8189.jpg,0.4146,0.3453,0.6129,0.3833,1,87.35
aug_0_8195.jpg,0.2282,0.1586,0.4658,0.3493,1,54.71
aug_0_8204.jpg,0.3959,0.2228,0.5676,0.3438,1,76.3
aug_0_8244.jpg,0.3621,0.465,0.3072,0.2463,1,82.63
aug_0_8264.jpg,0.3715,0.3507,0.4642,0.2556,1,80.49
aug_0_8270.jpg,0.2087,0.1095,0.283,0.2348,1,44.73
